Longview WA VHF 35mi,46.13819885,-122.93800354,35,m,14,
Longview WA UHF 35mi,46.13819885,-122.93800354,35,m,4,
Astoria OR VHF 30mi,46.18790054,-123.83100128,30,m,14,
Astoria OR UHF 30mi,46.18790054,-123.83100128,30,m,4,
Portland OR VHF 30mi,45.52310181,-122.67600250,30,m,14,
Portland OR UHF 30mi,45.52310181,-122.67600250,30,m,4,
Salem OR VHF 39mi,44.94290161,-123.03500366,39,m,14,
Salem OR UHF 39mi,44.94290161,-123.03500366,39,m,4,
Hood River OR VHF 35mi,45.70539856,-121.52100372,35,m,14,
Hood River OR UHF 35mi,45.70539856,-121.52100372,35,m,4,
Olympia WA VHF 30mi,47.03789902,-122.90100098,30,m,14,
Olympia WA UHF 30mi,47.03789902,-122.90100098,30,m,4,
Packwood WA VHF 40mi,46.60649872,-121.67099762,40,m,14,
Packwood WA UHF 40mi,46.60649872,-121.67099762,40,m,4,
Seattle WA VHF 45mi,47.60620117,-122.33200073,45,m,14,
Seattle WA UHF 45mi,47.60620117,-122.33200073,45,m,4,
Burlington WA VHF 45mi,48.47570038,-122.32499695,45,m,14,
Burlington WA UHF 45mi,48.47570038,-122.32499695,45,m,4,
